,page,country,rev_id
13158,Francis Humphris Fraser,New Zealand,757681740
13159,Frank Lethbridge,New Zealand,757681756
13160,Fred Sutton,New Zealand,757681766
13161,Frederick Haselden,New Zealand,757681790
13162,Frederick Nene Russell,New Zealand,757681793
13163,George Albert Marchant,New Zealand,757681820
13164,George Armstrong (New Zealand politician),New Zealand,757681964
13165,George Parker (New Zealand politician),New Zealand,757681967
13166,George Jones (New Zealand politician),New Zealand,757682059
13167,George Richardson (New Zealand politician),New Zealand,757682096
13168,George Webster (New Zealand politician),New Zealand,757682102
13169,Harry Allwright,New Zealand,757682141
13170,Henare Kaihau,New Zealand,757682151
13171,Henry Driver,New Zealand,757682170
13172,Henry Feldwick,New Zealand,757682175
13173,Henry Samuel Fitzherbert,New Zealand,757682228
13174,Henry Shafto Harrison,New Zealand,757682276
13175,Hoani Paraone Tunuiarangi,New Zealand,757682287
13176,Hoani Taipua,New Zealand,757682289
13177,Hone Taare Tikao,New Zealand,757682291
13178,Horace Bastings,New Zealand,757682294
13179,Hori Tawhiti,New Zealand,757682301
13180,Hugh Lusk,New Zealand,757682327
13181,Hugh McIlraith,New Zealand,757682328
13182,Ihaia Tainui,New Zealand,757682335
13183,James Bickerton Fisher,New Zealand,757682353
13184,James Burne Ferguson,New Zealand,757682356
13185,James Clark Brown,New Zealand,757682364
13186,James Dupré Lance,New Zealand,757682376
13187,James Green (New Zealand politician),New Zealand,757682396
13188,James Temple Fisher,New Zealand,757682447
13189,James Wallis (New Zealand politician),New Zealand,757682452
13190,John Bacot,New Zealand,757682482
13191,John Duncan (New Zealand politician),New Zealand,757682553
13192,John Holmes (New Zealand politician),New Zealand,757682566
13193,John Kerr (Auckland politician),New Zealand,757682575
13194,John Lundon,New Zealand,757682583
13195,John Munro (New Zealand politician born 1839),New Zealand,757682590
13196,John Munro (New Zealand politician born c. 1798),New Zealand,757682597
13197,John Richard Jones,New Zealand,757682600
13198,John Sangster Macfarlane,New Zealand,757682606
13199,John Studholme,New Zealand,757682624
13200,Joseph Henry (politician),New Zealand,757682856
13201,Joseph Newman (politician),New Zealand,757682897
13202,Joseph Petrie,New Zealand,757682900
13203,Joseph Shephard,New Zealand,757682904
13204,Karaitiana Takamoana,New Zealand,757682937
13205,Lauchlan McGillivray,New Zealand,757682945
13206,Lawrence Grace,New Zealand,757682958
13207,Matthew Green (New Zealand politician),New Zealand,757683071
13208,Oliver Samuel,New Zealand,757683089
13209,Patrick Dignan,New Zealand,757683117
13210,Pepene Eketone,New Zealand,757683124
13211,Richard Hobbs (politician),New Zealand,757683160
13212,Richard Monk,New Zealand,757683174
13213,Richard Oliver (politician),New Zealand,757683178
13214,Robert Heaton Rhodes,New Zealand,757683200
13215,Ropata Te Ao,New Zealand,757683312
13216,Samuel Hodgkinson,New Zealand,757683318
13217,Searby Buxton,New Zealand,757683325
13218,Sydney Taiwhanga,New Zealand,757683401
13219,Theophilus Daniel,New Zealand,757683414
13220,Thomas Kelly (New Zealand politician),New Zealand,757683477
13221,Thomas Mason (politician),New Zealand,757683595
13222,Thomas Tanner (politician),New Zealand,757683616
13223,Tureiti Te Heuheu Tukino V,New Zealand,757683659
13224,Wi Katene,New Zealand,757683696
13225,William Barron (politician),New Zealand,757683724
13226,William Daldy,New Zealand,757683744
13227,William Henderson Calder,New Zealand,757683788
13228,William Speight,New Zealand,757683995
13229,William Swanson (politician),New Zealand,757684002
13230,Wiremu Te Wheoro,New Zealand,757684121
13231,Prince Konrad of Hohenlohe-Schillingsfürst,Austria,757693018
13232,Milton Dick,Australia,757708437
13233,Christopher Obure,Kenya,757713770
13234,Paul-Eerik Rummo,Estonia,757714638
13235,Abdirashid Mohamed Hidig,Somalia,757719259
13236,María Elvia Amaya Araujo,Mexico,757722671
13237,Albert Abicht,Germany,757724642
13238,Puri Ruing,Papua New Guinea,757724918
13239,Josef Frenken,Germany,757725412
13240,Otto Winzer,Germany,757726617
13241,Wilhelm Buck,Germany,757726981
13242,Julius Bomholt,Denmark,757731184
13243,Barbara Stone,Australia,757763422
13244,Clever Ikisikpo,Nigeria,757765871
13245,Samuel Adesina,Nigeria,757792473
13246,Sonia Tschorne,Chile,757794121
13247,Ramez Tebet,Brazil,757794416
13248,Khaled al-Attiyah,Iraq,757796417
13249,Truman Prince,South Africa,757796489
13250,Moses ole Sakuda,Kenya,757796563
13251,Earnest Mudzengi,Zimbabwe,757796569
13252,Toni Reis,Brazil,757797827
13253,Sirajuddin Hamid Yousuf,Sudan,757799334
13254,Lutfullah Mashal,Afghanistan,757800105
13255,Brahim Koulamallah,Chad,757802238
13256,Elijah Omolo Agar,Kenya,757812559
13257,Usman Boie Kamara,Sierra Leone,757814167
13258,Wilberforce Juta,Nigeria,757814345
13259,Mourad Medelci,Algeria,757817902
13260,Carlos Gonzalez Gutierrez,Mexico,757817912
13261,Iyad Jamal Al-Din,Iraq,757821707
13262,Daniel Mukoko Samba,"Congo, Dem. Rep. of",757821887
13263,Henry Latham Currey,Cape Colony,757832561
13264,Arthur Brofeldt,Finland,757838800
13265,Peter Kilabuk,Canada,757841167
13266,Saadie Goukouni Weddeye,Chad,757842614
13267,Vaira Paegle,Latvia,757845577
13268,"António José de Ávila, 1st Duke of Ávila and Bolama",Portugal,757852574
13269,Florjon Mima,Albania,757856073
13270,Vittorio Casarin,Italy,757857178
13271,Zéphirin Diabré,Burkina Faso,757867343
13272,Domingos Dutra,Brazil,757867972
13273,Josemar Sobreiro,Brazil,757868043
13274,Heinz Schaden,Austria,757886662
13275,Mikko Piitulainen,Finland,757887100
13276,Gonzalo Escudero,Ecuador,757889753
13277,Graham Burkett,Australia,757912865
13278,Henock Kankoshi,Namibia,757916897
13279,Yun Young-sun (minister),"Korea, South",757933900
13280,Achmad Asj'ari,Indonesia,757936754
13281,Ramón Bengaray Zabalza,Spain,757945463
13282,Premier of Nevis,Saint Kitts and Nevis,757950077
13283,Raffaele Grazia,Italy,757953374
13284,Viorel Badea,Romania,757956170
13285,Rogério Bacalhau,Portugal,757961341
13286,Ahmad Balal,Pakistan,757961591
13287,Sarhan Bader,Israel,757962351
13288,José Ramón García Antón,Spain,757965319
13289,Osman Öcalan,Turkey,757965912
13290,Pyotra Krecheuski,Belarus,757970199
13291,Leandro Gómez,Uruguay,757973696
13292,Reynaldo Dagsa,Philippines,757975073
13293,Zvi Lurie,Israel,757976422
13294,Santiago González (politician),Salvadoran,757977772
13295,Giuseppe Perrucchetti,Italy,757978787
13296,Đurađ Jakšić,Serbia,757986743
13297,Julian Marchlewski,Russia,758000339
13298,Pia Olsen Dyhr,Denmark,758010229
13299,Nikolay Bliznakov,Bulgaria,758031736
13300,Carlo Gariglio,Italy,758044477
13301,Pramesh Kumar Hamal,Nepal,758048616
13302,Edmar Hermany,Brazil,758050671
13303,Parvez Hashmi,India,758051315
13304,James Moroka,South Africa,758059268
13305,Kao Su-po,Taiwan,758060701
13306,Heinrich Köhler,Germany,758064878
13307,Nazar Al Baharna,Bahrain,758080025
13308,Renato Ruggiero,Italy,758081006
13309,Lahcen Haddad,Morocco,758094392
13310,Francesco Mussoni,San Marino,758183748
13311,Alish Lambaranski,Azerbaijan,758185800
13312,Tom Maidhc O'Flaherty,United States,758192183
13313,Augustus Stoner Decker,United States,758192992
13314,Steve Mantis,Canada,758196830
13315,List of Mayors of Kandy,Sri Lanka,758203056
13316,George Clark (Queensland politician),Australia,758207069
13317,Cecilia González Gómez,Mexico,758217119
13318,Francisco Andrade Marín,Ecuador,758218384
13319,Francisco León Franco,Ecuador,758225439
13320,Francisco Vicente de la Espriella,Panama,758230464
13321,Victoria Hernandez-Reyes,Philippines,758239968
13322,Motahar Hossain (Bangladeshi politician),Bangladesh,758245982
13323,Nurlan Motuev,Kyrgyzstan,758251396
13324,Aquiles Serdán,Mexico,758256462
13325,Niccolò di Buonaccorso,Italy,758259218
13326,Abdul Rauf al-Kasm,Syria,758263363
13327,Abdul Rahman Khleifawi,Syria,758264617
13328,Lionel de Moustier,France,758269405
13329,Petre Tobă,Romania,758269713
13330,Rosa Amelia Guzmán,Salvadoran,758287489
13331,Álvaro Pérez Intriago,Ecuador,758287732
13332,Gloria Salguero Gross,Salvadoran,758288293
13333,Maryse Narcisse,Haiti,758295152
13335,Tsvetlin Yovchev,Bulgaria,758305040
13336,Elíseo Arango Ramos,Colombia,758305451
13337,Carlos Echeverri Cortés,Colombia,758305564
13338,Francisco José Urrutia Holguín,Colombia,758305780
13339,Nicolae Ionescu,Romania,758313448
13340,Djufrie Asmoredjo,Indonesia,758314990
13341,Murade Isaac Murargy,Mozambique,758336873
13342,Dan Diaconescu,Romania,758340571
13343,Vatslav Vorovsky,Russia,758341322
13344,Thomas Malone (politician),Canada,758368304
13345,Mohammed Lawal,Nigeria,758372520
13346,John Kerr (US politician),United States,758373224
13347,"Joachim, Count of Schönburg-Glauchau",Germany,758375728
13348,Francis Pillans,New Zealand,758380131
13349,Sung Yu-hsieh,Taiwan,758394764
13350,Frederick Ngobi Gume,Uganda,758395750
13351,Alexander Khloponin,Russia,758399893
13352,Frederick Thomas Brentnall,Australia,758400064
13353,Ebenezer Okletey Terlabi,Ghana,758415814
13354,Rumen Petkov (politician),Bulgaria,758423463
13355,Jan van Angeren,Netherlands,758430726
13356,Gift Banda,Zimbabwe,758442662
13357,Raphael Basch,Austria,758447159
13358,Khaled al-Obaidi,Iraq,758451364
13359,Dorah Ilunga,Belgium,758463591
13360,Cassim Chilumpha,Malawi,758467079
13361,Marcial Mora,Chile,758478925
13362,Frederick Azzopardi,Malta,758493118
13363,Jonah Ranaivo,Madagascar,758494227
13364,Gregorio López-Bravo y Castro,Spain,758494589
13365,List of Speakers of the Council of Representatives of Iraq,Iraq,758494760
13366,Pierre Sévigny,Canada,758498194
13367,Zbigniew Stypułkowski,Poland,758503962
13368,Victor Perret,France,758517528
13369,Labaran Maku,Nigeria,758525626
13370,Nazif Memedi,Croatia,758533356
13371,"Scipione Borghese, 10th Prince of Sulmona",Italy,758539233
13372,Nkechi Ikpeazu,Nigeria,758541021
13373,List of colonial governors of Bechuanaland,Botswana,758546631
13374,Christine Antorini,Denmark,758556843
13376,Rosemary Seninde,Uganda,758567928
13377,Emmylou Taliño-Mendoza,Philippines,758568231
13378,Nasser Yeganeh,Iran,758572616
13379,Victor Ciorbea,Romania,758593961
13380,Governorate of Paraguay,Paraguay,758602925
13381,Bernardino de Cárdenas,Paraguay,758603504
13382,Bruno Mauricio de Zabala,Paraguay,758603851
13383,Mya Aye (minister),Myanmar,758604671
13384,Fyodor Kulakov,Russia,758614018
13385,Francisco Ortiz de Vergara,Argentina,758622624
13386,List of Governors in the Viceroyalty of the Río de la Plata,Spain,758622769
13387,Governor of Montevideo,Spain,758622822
13388,Teodor Laço,Albania,758633802
13389,Carlos Petroni,Argentina,758642168
13390,J. Edwin Lloyd,Liberia,758648535
13391,Medeiros e Albuquerque,Brazil,758652000
13392,Son Ngoc Thanh,Cambodia,758665997
13393,ʻAna Taufeʻulungaki,Tonga,758677350
13394,Zbigniew Okoński,Poland,758678133
13395,Cheng Jei-cheng,Taiwan,758682356
13396,Alirio Ugarte Pelayo,Venezuela,758703821
13397,Pedro Jorge Vera,Ecuador,758704197
13398,Saifuddin Bohra,Pakistan,758706289
13399,Gabriel Gustafsson Oxenstierna,Sweden,758708331
13400,Mario Monteforte Toledo,Guatemala,758710553
13401,Varina Tjon-A-Ten,Netherlands,758716919
13402,Galo Chiriboga,Ecuador,758716972
13403,David Littleproud,Australia,758723232
13404,John McVeigh (politician),Australia,758723473
13405,Mohammed Basindawa,Yemen,758729679
13406,Gagik Beglaryan,Armenia,758732500
13407,Mario Héber Usher,Uruguay,758750463
13408,Max Montgelas,Germany,758770905
13409,Volodymyr Ivanovych Barvinok,Ukraine,758777647
13410,Laine Randjärv,Estonia,758782425
13411,Jevrem Brković,Montenegro,758798912
13412,Wilhelm Bennet,Sweden,758812826
13413,Vance Badawey,Canada,758814005
13414,Nils Philip Gyldenstolpe,Sweden,758820917
13415,Adolf Ludvig Hamilton,Sweden,758821308
13416,Nils Reuterholm,Sweden,758824471
13417,Eduardo Lorier,Uruguay,758826452
13418,Binyamin Eliav,Israel,758839819
13419,Gerwald Claus-Brunner,Germany,758846846
13420,Ida Hoffmann,Namibia,758853149
13421,Paul Pastur,Belgium,758858754
13422,Margaret McIntyre,Australia,758865527
13423,Garentina Kraja,Kosovo,758868115
13424,"Leopoldo de Gregorio, Marquis of Squillace",Italy,758878804
13425,Fidel Maíz,Paraguay,758886793
13426,Vladeta Janković,Serbia,758908752
13427,Robert Mitchell (New Zealand politician),New Zealand,758911016
13428,Mikuláš of Hus,Czech Republic,758942647
13429,Bogoljub Nedeljković,Kosovo,758950312
13430,Gatoloaifaana Amataga Alesana-Gidlow,Samoan,758953501
13431,Jakov Blažević,Croatia,758957460
13432,Zvonko Brkić,Croatia,758957615
13433,Algernon Turnor,United Kingdom,758997615
13434,Syed Nasir Ismail,Malaysia,758998682
13435,Hamdan bin Mubarak Al Nahyan,United Arab Emirates,759015605
13436,Neale Porter,United Kingdom,759015727
13437,Roy Mata,Vanuatu,759023105
13438,Amado Tame Shear,Mexico,759034364
13439,Vappu Heinonen,Finland,759040670
13440,"Charles Powlett, 5th Duke of Bolton",United Kingdom,759044784
13441,Josif Kostić,Serbia,759056397
13442,Béla Vágó,Hungary,759066175
13443,Joseph Cohen,Canada,759068429
13444,Mohamed Moallim Hassan,Somalia,759076479
13445,Tasneem Essop,South Africa,759078007
13446,Jan Mühlstein,Germany,759082898
13447,Albert Jean Amateau,Turkey,759095871
13448,Luis Alberto Héber,Uruguay,759106003
13449,Bernard Dowiyogo,Nauru,759112826
13450,Abi Kusno Nachran,Indonesia,759127419
13451,Geoffrey Cox (Australian politician),Australia,759129423
13452,Charles Edward Haughton,New Zealand,759129587
13453,Vladimir Shumeyko,Russia,759131676
13454,Cecilia Álvarez-Correa Glen,Colombia,759138274
13455,Muktar Kedir,Ethiopia,759140895
13456,Max Cahner,Spain,759147565
13457,Ilija Vakić,Kosovo,759148068
13458,Jaume Collboni,Spain,759148584
13459,Jorge Sanguinetti,Uruguay,759150612
13460,Eddie Fullerton,Ireland,759162457
13461,Mamman Kontagora,Nigeria,759171415
13462,Ian Fletcher (diplomat),New Zealand,759173368
13463,Domingo Cavallo,Argentina,759188232
13464,Aleksander Zawisza,Poland,759191187
13465,Karl Schmitzer,Austria,759213802
13466,Edward Barron Chandler,Canada,759216527
13467,George Forbes (New South Wales politician),Australia,759219512
13468,George Graham (New South Wales politician),Australia,759226921
13469,Ricardo Jaime,Argentina,759230334
13470,George Henry Andrews,Liberia,759233594
13471,George Leary,Australia,759248889
13472,George McCredie,Australia,759257502
13473,George Rainsford,Australia,759271828
13474,George Richards (Australian politician),Australia,759273706
13475,Denis Amici,San Marino,759275786
13476,Manuel Frasquilho,Portugal,759280258
13477,Xuân Thủy,Vietnam,759284532
13478,Juan Astigarrabía,Spain,759285770
13479,Jacinta Allan,Australia,759286280
13480,Henry Manders,New Zealand,759288047
13481,Sharon Knight (politician),Australia,759289406
13482,Martha Tagle Martínez,Mexico,759293710
13483,Oei Tjoe Tat,Indonesia,759301550
13484,Georges Adda,Tunisia,759303258
13485,Chen Shu-hui,Taiwan,759304620
13486,Marsha Thomson,Australia,759310262
13487,Gabrielle Williams,Australia,759310530
13488,Matt Keogh,Australia,759311147
13489,Cindy McLeish,Australia,759316071
13490,Heidi Victoria,Australia,759318228
13491,Emma Kealy,Australia,759319084
13492,Suzanna Sheed,Australia,759320256
13493,André Koechlin,France,759320582
13494,Mauro Pedrazzini,Liechtenstein,759326756
13495,Federica Bigi,San Marino,759327447
13496,August De Boodt,Belgium,759327982
13497,Wilson Kumbula,Zimbabwe,759330558
13498,Wu Ching-ji,Taiwan,759355849
13499,Christin Milloy,Canada,759365933
13500,Gerald Ssendaula,Uganda,759366517
13501,Geraldine Ecleo-Villaroman,Philippines,759369603
13502,Geraldo Magela,Brazil,759371574
13503,Juma Oris,Uganda,759378614
13505,Gerardo Pisarello,Spain,759384690
13506,Nahid al-Rayyis,Palestinian Territory,759387598
13507,Stefan Bobrowski,Poland,759403219
13508,Massouda Jalal,Afghanistan,759405630
13509,Georgie Crozier,Australia,759409040
13510,George Alexander (actor),United Kingdom,759412968
13511,William Arden Maury,United States,759413795
13512,Slim Dziri,Tunisia,759425038
13513,Gilles de Robien,France,759430850
13514,Germán Cardona Gutiérrez,Colombia,759433328
13515,Gerry Eckhoff,New Zealand,759439551
13516,Linda Savage,Australia,759439697
13517,Gerry Organ,Canada,759441852
13518,Gertrud Heinzelmann,Switzerland,759446139
13519,Sue Pennicuik,Australia,759446289
13520,Gertruda Sekaninová-Čakrtová,Czech Republic,759446334
13521,Jeff Bourman,Australia,759448457
13522,Davood Moradian,Afghanistan,759449241
13523,Birzo Majeed,Iraq,759449580
13524,Anders Wiklund,Sweden,759453643
13525,Kah Walla,Cameroon,759453694
13526,Barbro Feltzing,Sweden,759453781
13527,Claes Roxbergh,Sweden,759453992
13528,Dan Kihlström,Sweden,759454012
13529,Erling Wälivaara,Sweden,759454026
13530,Nicolai Wammen,Denmark,759454194
13531,Ingvar Svensson,Sweden,759454446
13532,Jan Lindholm,Sweden,759454453
13533,Kalle Larsson,Sweden,759454474
13534,Kenneth Lantz,Sweden,759454493
13535,Kjell-Erik Karlsson,Sweden,759454519
13536,Lars Bäckström,Sweden,759454529
13537,Lars Gustafsson (politician),Sweden,759454552
13538,Lars Lindén,Sweden,759454560
13539,Leif Björnlod,Sweden,759454632
13540,Lennart Gustavsson,Sweden,759454687
13541,Martin Andreasson,Sweden,759454740
13542,Mats Einarsson,Sweden,759454750
13543,Mats Odell,Sweden,759454751
13544,Mikael Johansson (politician),Sweden,759454767
13545,Mikael Oscarsson,Sweden,759454776
13546,Olle Sandahl,Sweden,759454803
13547,Owe Hellberg,Sweden,759454805
13548,Per Landgren,Sweden,759454814
13549,Per Rosengren,Sweden,759454834
13550,Peter Pedersen (politician),Sweden,759454843
13551,Rolf Olsson,Sweden,759454922
13552,Sermin Özürküt,Sweden,759454932
13553,Sten Lundström,Sweden,759454946
13554,Sven Brus,Sweden,759454953
13555,Sven Gunnar Persson,Sweden,759454954
13556,Sven-Erik Sjöstrand,Sweden,759454956
13557,Tasso Stafilidis,Sweden,759454971
13558,Torsten Lindström,Sweden,759455106
13559,Tuve Skånberg,Sweden,759455107
13560,Ulf Holm,Sweden,759455109
13561,Ulrik Lindgren,Sweden,759455121
13562,Miguel Trovoada,Sao Tome and Principe,759466313
13563,Fredrik Magnus Cronberg,Sweden,759471590
13564,Ghazi Salah al-Din al-Atabani,Sudan,759473107
13565,Gheorghe Apostoleanu,Romania,759474501
13566,Anna Ekström,Sweden,759476492
13567,Ritt Bjerregaard,Denmark,759481897
13568,Thomas Scholfield,Australia,759485624
13569,Patricia Schnauer,New Zealand,759486918
13570,Rafał Dutkiewicz,Poland,759486999
13571,Ombretta Colli,Italy,759487151
13572,Richard Face,Australia,759487224
13573,Agnes Louisa Weston,New Zealand,759488479
13574,Ghulam Mohammad Rigi,Afghanistan,759489824
13575,Cecilia Schelin Seidegård,Sweden,759496838
13576,Charles Clark (Australian politician),Australia,759497799
13577,Małgorzata Omilanowska,Poland,759506080
13578,Lamidi Adedibu,Nigeria,759508235
13579,Lars von Engeström,Sweden,759508911
13580,Yang Hao (Ming dynasty),China,759510497
13581,Monovithya Kem,Cambodia,759510662
13582,Carl Fredrik Pechlin,Sweden,759510854
13583,Myeongnim Dap-bu,"Korea, South",759510973
13584,Shigeru Sahashi,Japan,759511645
13585,Matti Kekki,Finland,759518575
13586,Alberto Tejada Noriega,Peru,759520068
13587,Diogo Afonso,Portugal,759520156
13588,Victor Griffuelhes,France,759521346
13589,Arthur Nichols,Australia,759532986
13590,Valery Zorkin,Russia,759540597
13591,Ottaviano Canevari,Italy,759545112
13592,R. Lakshmanan,India,759567624
13593,S. Muthukaruppan,India,759567804
13594,T. Rathinavel,India,759573340
13595,Snøfrid Skaare,Norway,759579299
13596,Almayahu Haile,Ethiopia,759581517
13597,Helen Makhuba,South Africa,759586031
13598,Najeba Latef Ahmed,Iraq,759596692
13599,Giorgio Giudici,Switzerland,759607758
13600,Giosuè Fiorentino,Italy,759611796
13601,Shea Jia-dong,Taiwan,759614202
13602,Lee Sush-der,Taiwan,759614813
13603,Fabian von Fersen,Sweden,759618951
13604,Giovanni Roberti,Italy,759620946
13605,Rianne Donders-de Leest,Netherlands,759639838
13606,Robert Reid (Australian politician),Australia,759641994
13607,SVSN Varma,India,759661223
13608,Ho Chih-chin,Taiwan,759664380
13609,José Manuel Machado,Mexico,759664413
13610,Gjergji Papa,Albania,759665466
13611,Hugo de los Reyes Chávez,Venezuela,759665673
13612,Gjok Uldedaj,Albania,759665935
13613,Mahad Abdalle Awad,Somalia,759668355
13614,Giacinto Menotti Serrati,Italy,759675469
13615,Carlo Troya,Italy,759681695
13616,Hamad bin Abdullah Al Thani,Qatar,759694059
13617,Sarah Jibril,Nigeria,759698330
13618,Nurbank murder case,Kazakhstan,759703961
13619,Electoral history of Robert Stout,New Zealand,759704899
13620,Electoral history of Richard Seddon,New Zealand,759705041
13621,Electoral history of Joseph Ward,New Zealand,759705223
13622,Electoral history of Harry Holland,New Zealand,759705896
13623,Nils Jønsberg,Norway,759716264
13624,Alexia Amesbury,Seychelles,759736655
13625,Demosthenes Amos Chilingutila,Angola,759737513
13626,Mateo Gil (conquistador),Spain,759739810
13627,Yolanda de la Torre,Mexico,759740794
13628,María Quiñones Cornejo,Mexico,759741092
13629,María Scherman Leaño,Mexico,759741129
13630,Cecilia Soto González,Mexico,759741191
13631,Beatriz Pagés Rebollar,Mexico,759741361
13632,Lisbeth Hernández Lecona,Mexico,759741581
13633,Jigme Namgyal,China,759742191
13634,Clara Brugada,Mexico,759743068
13635,Esthela Damián Peralta,Mexico,759743160
13636,Kostas Kyriacou,Cyprus,759758624
13637,Kao Shien-quey,Taiwan,759762778
13638,Noah Wekesa,Kenya,759763616
13639,Serge Youriévitch,Russia,759764943
13640,Edward Greville,Australia,759769824
13641,Thembi Majola,South Africa,759774647
13642,Shafiqa Habibi,Afghanistan,759778743
13643,Gerardo Clemente Vega,Mexico,759790785
13644,Luis Alberto de Herrera,Uruguay,759793710
13645,José Serrato,Uruguay,759794227
13646,Juan Campisteguy,Uruguay,759794403
13647,Gloria Shillingford,Dominica,759794526
13648,Candido Pancrudo Jr.,Philippines,759800474
13649,Mary Kim Titla,United States,759815715
13650,Annie Furuhjelm,Finland,759819555
13651,Carl Tham,Sweden,759824775
13652,Sukarti Wakiman,Malaysia,759833427
13653,Wojciech Zaleski,Poland,759854335
13654,Gobind Singh Deo,Malaysia,759858445
13655,First Lady of Sri Lanka,Sri Lanka,759864025
13656,Angel Marin,Bulgaria,759871934
13657,Cheng Yi (philosopher),China,759875366
13658,Godfrey Kiwanda,Uganda,759877869
13659,Soegiono,Indonesia,759881916
13660,Electoral history of Akbar Hashemi Rafsanjani,Iran,759882189
13661,Prem Singh Tamang,India,759899434
13662,Frederic Metcalfe,United Kingdom,759909062
13663,Robert Rothschild,Belgium,759923211
13664,Sara Larraín,Chile,759925176
13665,AB Tajul Islam,Bangladesh,759934498
13666,Ahad Ali Sarker,Bangladesh,759939214
13667,John Alexander (New Zealand politician),New Zealand,759939969
13668,John Barnicoat,New Zealand,759939981
13669,Henry Chamberlain (politician),New Zealand,759940004
13670,John Curling,New Zealand,759940095
13671,Ernest Gray (New Zealand politician),New Zealand,759941378
13672,William Kenny (New Zealand politician),New Zealand,759944227
13673,John Yeeden Lloyd,New Zealand,759944232
13674,George Leslie Lee,New Zealand,759944241
13675,William Nurse,New Zealand,759948600
13676,Harold Arthur Russell,New Zealand,759955171
13677,Thomas Renwick,New Zealand,759955238
13678,Xu Enzeng,China,759973235
13679,Ali Aden Lord,Kenya,759973565
13680,Barby Wells,United States,759978791
13681,Alexandre-Ferdinand Nguendet,Central African Republic,759980423
13682,Jann Stuckey,Australia,759981591
13683,Anicet-Georges Dologuélé,Central African Republic,759982763
13684,Ali Agha-Mohammadi,Iran,759998187
13685,Pernille Rosenkrantz-Theil,Denmark,760001093
13686,Abdul Qadir Bajamal,Yemen,760012032
13687,Tzvi Avisar,Israel,760021311
13688,Antonio del Rosario,Philippines,760026681
13689,Ahmad Babba Kaita,Nigeria,760030043
13690,Andrei Klepach,Russia,760031780
13691,Imed Trabelsi,Tunisia,760033692
13692,Christian Dupont,Belgium,760033764
13693,Erato Kozakou-Marcoullis,Cyprus,760041027
13694,José Amado Ricardo Guerra,Cuba,760052130
13695,Geoffrey Onegi Obel,Uganda,760056661
13696,Yu In-chon,South Korean,760062536
13697,Leo Segun Ajiborisha,Nigeria,760064451
13698,Roberta Alenius,Sweden,760066050
13699,Américo Ghioldi,Argentina,760066828
13700,Yuan Taotu,China,760069654
13701,Marie Carmelle Jean-Marie,Haiti,760080443
13702,Jørgen von Ansbach,Norway,760081916
13703,Matthew Flomo,Liberia,760084267
13704,Elizabeth Simbiwa Sogbo-Tortu,Sierra Leone,760091879
13705,"Mohammad Khatami presidential campaign, 2009",Iran,760093291
13706,Abelardo Colomé Ibarra,Cuba,760103274
13707,Bernardo Piñol Jr.,Philippines,760108113
13708,Sylvanus Lowry,United States,760109296
13709,Fernando Untoja Choque,Bolivia,760112545
13710,Hieu Van Le,Australia,760125919
13711,Deputy President of the Nigerian Senate,Nigeria,760126403
13712,"João Cardoso de Meneses e Sousa, Baron of Paranapiacaba",Brazil,760129090
13713,Helen Smith (politician),New Zealand,760134586
13714,Wenzu Mintoff,Malta,760138609
13715,Tahar Touati,Algeria,760143034
13716,Zakia Meghji,Tanzania,760150452
13717,Vasant Bunwaree,Mauritius,760160687
13718,Walter Feghabo,Nigeria,760163064
13719,Electoral history of Alfred Hindmarsh,New Zealand,760165231
13720,Kyaw Myint,Myanmar,760175969
13721,Liu Hui (politician),China,760176383
13722,Luc Michel,Belgium,760178310
13723,Margaret Rowe,Australia,760178515
13724,Mhamed El Khalifa,Morocco,760178811
13725,Rachid Talbi Alami,Morocco,760179887
13726,Karl Gruber,Austria,760180338
13727,Samsudin Osman,Malaysia,760180917
13728,Tadeusz Trzmiel,Poland,760181625
13729,Tom Butime,Uganda,760181848
13730,Wan Shaofen,China,760182115
13731,Andreas Pitsillides,Cyprus,760182587
13732,Jobie Nutarak,Canada,760183672
13733,Yin Yicui,China,760184668
13734,Dennis Galabuzi Ssozi,Uganda,760184747
13735,Álvaro Pérez Treviño,Mexico,760187108
13736,Didier Pfirter,Switzerland,760187290
13737,Rafael Ribó,Spain,760190108
13738,Mykola Rohozhynskyy,Ukraine,760191305
13739,Saleh Al Shal,United Arab Emirates,760194556
13740,Josef Siegele,Austria,760195376
13741,Eduardo Cote Lamus,Colombia,760208549
13742,Vice-President of Ghana,Ghana,760214700
13743,Alejandra Reynoso Sánchez,Mexico,760218341
13744,Raja Muhammed Sarfraz Khan,Pakistan,760219437
13745,Maximiliano Gómez,Dominican Republic,760236673
13746,Konstantinos Theofylaktos,Turkey,760241034
13747,Soutchay Thammasith,Laos,760241265
13748,Jean Marie M'ba,Gabon,760250207
13749,Hédi Baccouche,Tunisia,760254890
13750,Altaf Hussain Unar,Pakistan,760256110
13751,Laith Shubeilat,Jordan,760257274
13752,Ernest Courtot de Cissey,France,760266412
13753,Charles Duclerc,France,760268202
13754,Ferdinand Sarrien,France,760270695
13755,Ernest Monis,France,760271095
13756,Vinicio Gómez,Guatemala,760271255
13757,Georges Leygues,France,760272292
13758,Stefanie Nauheimer,Austria,760278637
13759,Pyotr Smidovich,Russia,760283552
13760,Ignacio Agramonte,Cuba,760288256
13761,Wojciech Bartelski,Poland,760297886
